Rank,Team,2019 fumbles-lost-per-game
1,New Orleans,0.2
2,Arizona,0.4
2,Denver,0.4
4,New England,0.4
5,Dallas,0.4
5,Chicago,0.4
5,Cleveland,0.4
5,LA Rams,0.4
9,Buffalo,0.5
9,Baltimore,0.5
11,Tennessee,0.5
12,Washington,0.5
12,Detroit,0.5
12,Miami,0.5
15,Houston,0.6
15,Green Bay,0.6
17,Las Vegas,0.6
17,NY Jets,0.6
19,San Francisco,0.6
19,Kansas City,0.6
21,Atlanta,0.6
22,Pittsburgh,0.7
22,Tampa Bay,0.7
22,LA Chargers,0.7
22,Indianapolis,0.7
26,Jacksonville,0.8
27,Seattle,0.8
27,Minnesota,0.8
29,Carolina,0.9
29,Cincinnati,0.9
31,Philadelphia,0.9
32,NY Giants,1.0
