Rank,Team,2019 opponent-offensive-touchdowns-per-game
1,New England,1.3
2,Buffalo,1.7
3,Denver,1.8
4,Baltimore,1.8
5,Pittsburgh,1.9
6,Minnesota,2.0
7,Chicago,2.1
8,Dallas,2.2
9,San Francisco,2.2
10,LA Chargers,2.3
11,Kansas City,2.3
12,Green Bay,2.3
13,NY Jets,2.3
13,Indianapolis,2.3
15,LA Rams,2.4
16,Tennessee,2.4
17,New Orleans,2.5
17,Philadelphia,2.5
19,Seattle,2.5
20,Atlanta,2.6
20,Tampa Bay,2.6
22,Cincinnati,2.6
23,Cleveland,2.8
24,Jacksonville,2.8
25,Detroit,2.9
26,Arizona,2.9
27,Houston,2.9
28,Las Vegas,3.0
29,Washington,3.1
29,NY Giants,3.1
31,Carolina,3.3
32,Miami,3.4
