Rank,Team,2019 opponent-rushing-first-down-pct
1,Tampa Bay,21.15%
2,New Orleans,24.02%
3,NY Jets,24.83%
4,Arizona,25.07%
5,Detroit,25.75%
6,Philadelphia,26.23%
7,Minnesota,26.37%
8,Las Vegas,26.45%
9,Chicago,28.10%
10,Baltimore,28.52%
11,Seattle,28.61%
12,Indianapolis,28.79%
13,NY Giants,29.15%
14,Houston,29.32%
15,Tennessee,29.58%
16,New England,30.36%
17,LA Rams,30.86%
18,Dallas,30.89%
19,Buffalo,31.21%
20,Miami,31.30%
21,Denver,31.48%
22,Kansas City,32.11%
23,Atlanta,32.73%
24,Jacksonville,33.53%
25,Washington,33.90%
26,Green Bay,34.09%
27,LA Chargers,35.44%
28,San Francisco,35.69%
29,Cleveland,35.94%
30,Carolina,36.06%
31,Pittsburgh,36.18%
32,Cincinnati,37.80%
