Rank,Team,2020 field-goal-attempts-per-game
1,Dallas,2.6
2,Atlanta,2.5
3,Miami,2.4
4,Indianapolis,2.3
5,Buffalo,2.3
6,Carolina,2.3
7,Las Vegas,2.2
7,Denver,2.2
9,Cincinnati,2.1
10,LA Chargers,2.1
11,Washington,2.1
12,Tampa Bay,2.0
12,NY Giants,2.0
14,Baltimore,1.9
15,Chicago,1.9
16,Houston,1.9
17,LA Rams,1.9
18,Arizona,1.9
19,Kansas City,1.8
20,Tennessee,1.8
21,Detroit,1.8
21,NY Jets,1.8
21,New England,1.8
24,New Orleans,1.7
25,San Francisco,1.6
26,Jacksonville,1.6
27,Seattle,1.5
28,Cleveland,1.5
29,Pittsburgh,1.5
30,Minnesota,1.4
31,Philadelphia,1.2
32,Green Bay,1.1
