Rank,Team,2020 fumbles-not-lost-per-game
1,Philadelphia,1.4
2,Baltimore,1.3
3,New Orleans,1.1
4,Pittsburgh,0.9
5,Arizona,0.9
5,New England,0.9
5,Denver,0.9
8,Cleveland,0.8
9,Chicago,0.8
10,Washington,0.8
11,Minnesota,0.8
12,Miami,0.6
12,Houston,0.6
12,LA Chargers,0.6
15,Tennessee,0.6
16,Kansas City,0.6
17,Atlanta,0.6
17,NY Giants,0.6
19,Seattle,0.5
20,Las Vegas,0.5
20,Tampa Bay,0.5
20,Carolina,0.5
23,Buffalo,0.5
24,LA Rams,0.4
25,Jacksonville,0.4
25,Cincinnati,0.4
27,Green Bay,0.4
28,Dallas,0.4
28,San Francisco,0.4
30,Detroit,0.3
31,Indianapolis,0.3
32,NY Jets,0.2
