Rank,Team,2020 kickoffs-per-game
1,Tampa Bay,6.4
2,Buffalo,6.2
3,Green Bay,6.1
4,Kansas City,6.0
4,Indianapolis,6.0
6,Las Vegas,5.9
7,New Orleans,5.8
8,Tennessee,5.8
8,Seattle,5.8
10,Dallas,5.8
10,Atlanta,5.8
10,Miami,5.8
13,Baltimore,5.7
14,Pittsburgh,5.5
15,Houston,5.4
15,Arizona,5.4
17,Cleveland,5.4
18,Minnesota,5.3
19,LA Chargers,5.3
20,Chicago,5.2
21,LA Rams,5.1
22,San Francisco,5.1
22,Carolina,5.1
24,Denver,4.9
25,Washington,4.9
26,Detroit,4.9
27,Cincinnati,4.8
28,New England,4.7
28,Philadelphia,4.7
30,NY Giants,4.6
31,Jacksonville,4.6
32,NY Jets,3.9
