Rank,Team,2020 opponent-incompletions-per-game
1,Pittsburgh,14.2
2,Seattle,13.9
3,New Orleans,13.8
4,Cleveland,13.7
5,Baltimore,13.2
6,Kansas City,13.2
7,Las Vegas,13.1
8,Buffalo,13.1
9,Tampa Bay,13.1
10,Arizona,12.8
11,LA Rams,12.8
12,Washington,12.8
13,LA Chargers,12.7
14,Miami,12.6
15,Tennessee,12.6
16,Cincinnati,12.6
17,Atlanta,12.5
18,San Francisco,12.3
19,Chicago,12.2
20,Denver,12.1
21,Indianapolis,11.9
22,Green Bay,11.8
23,NY Jets,11.7
23,Carolina,11.7
25,NY Giants,11.6
26,Dallas,11.6
27,Minnesota,11.4
28,Detroit,10.9
29,Philadelphia,10.4
30,Houston,10.3
31,Jacksonville,10.2
32,New England,10.1
