Rank,Team,2020 opponent-solo-tackles-per-game
1,Tampa Bay,35.1
2,NY Jets,35.7
3,Jacksonville,36.3
4,NY Giants,36.8
5,Cleveland,37.1
6,Denver,37.6
7,Detroit,37.9
7,Minnesota,37.9
9,Houston,38.2
10,Carolina,38.3
11,Chicago,38.3
12,Green Bay,38.7
13,Kansas City,39.1
14,Seattle,39.1
15,Las Vegas,39.2
16,Buffalo,39.2
17,Philadelphia,39.3
18,Washington,39.5
19,San Francisco,39.8
20,Pittsburgh,39.9
21,New Orleans,40.3
22,Baltimore,40.4
23,Cincinnati,40.6
24,Tennessee,40.6
25,Atlanta,41.1
26,Miami,41.1
27,LA Chargers,41.9
28,New England,42.5
29,Dallas,42.6
30,LA Rams,43.1
31,Indianapolis,43.3
32,Arizona,43.5
