Rank,Team,2020 passing-play-pct
1,Jacksonville,66.20%
2,Pittsburgh,65.48%
3,Houston,63.40%
4,Detroit,62.97%
5,Kansas City,62.57%
6,Chicago,62.27%
7,Washington,62.23%
8,Philadelphia,62.20%
9,Atlanta,62.06%
10,Tampa Bay,61.78%
11,Buffalo,61.71%
12,Dallas,61.37%
13,Cincinnati,60.48%
14,Seattle,59.59%
15,Carolina,59.01%
16,NY Giants,58.70%
17,LA Chargers,58.65%
18,San Francisco,58.22%
19,Miami,58.08%
20,NY Jets,57.17%
21,Denver,57.09%
22,Green Bay,56.23%
23,Las Vegas,55.89%
24,Indianapolis,55.87%
25,Arizona,55.77%
26,LA Rams,55.75%
27,Minnesota,54.25%
28,New Orleans,53.05%
29,Cleveland,52.22%
30,Tennessee,49.72%
31,New England,48.72%
32,Baltimore,44.96%
