Rank,Team,2020 passing-touchdown-pct
1,Houston,75.00%
2,Seattle,73.68%
3,Green Bay,72.60%
4,Tampa Bay,71.23%
5,Pittsburgh,70.91%
6,LA Chargers,68.89%
7,Kansas City,68.75%
8,Jacksonville,67.57%
9,Buffalo,67.16%
10,Atlanta,65.85%
10,Chicago,65.85%
12,Minnesota,63.64%
13,NY Jets,61.54%
14,Detroit,60.00%
14,Denver,60.00%
16,Dallas,59.52%
17,Las Vegas,58.33%
18,Cincinnati,57.58%
19,Miami,57.14%
20,San Francisco,55.56%
21,Arizona,55.10%
22,Tennessee,53.97%
23,Cleveland,53.45%
24,Philadelphia,52.38%
25,New Orleans,50.00%
26,Indianapolis,49.06%
27,Baltimore,47.37%
28,LA Rams,45.83%
29,NY Giants,44.44%
30,Washington,42.50%
31,Carolina,42.11%
32,New England,33.33%
