Rank,Team,2021 opponent-rushing-play-pct
1,Tampa Bay,33.71%
2,Tennessee,35.00%
3,Baltimore,36.59%
4,Cincinnati,37.19%
5,LA Rams,38.04%
6,Green Bay,38.93%
7,Kansas City,39.04%
8,Miami,39.32%
9,Indianapolis,40.00%
10,New Orleans,40.04%
11,Washington,40.38%
12,Dallas,40.79%
13,Minnesota,41.23%
14,San Francisco,41.31%
15,Cleveland,41.38%
16,Las Vegas,41.84%
17,Seattle,42.38%
18,Denver,42.44%
19,Buffalo,42.60%
19,Philadelphia,42.60%
21,Arizona,42.77%
22,NY Giants,43.27%
23,Pittsburgh,44.03%
24,New England,45.15%
25,NY Jets,45.85%
26,Carolina,46.11%
27,LA Chargers,46.15%
28,Jacksonville,46.16%
29,Atlanta,46.59%
30,Detroit,47.44%
31,Houston,47.50%
32,Chicago,47.87%
