Rank,Team,2021 opponent-yards-per-completion
1,Philadelphia,9.1
2,Cleveland,9.4
3,Tampa Bay,9.4
4,Las Vegas,9.5
5,Buffalo,9.5
6,San Francisco,9.5
7,NY Giants,9.5
8,Carolina,9.7
9,Green Bay,9.8
10,LA Rams,9.9
11,Atlanta,10.1
12,Cincinnati,10.1
13,Arizona,10.2
14,Seattle,10.2
15,Indianapolis,10.2
16,New England,10.3
17,Jacksonville,10.3
18,New Orleans,10.4
19,Chicago,10.4
20,Miami,10.4
21,Pittsburgh,10.4
22,Kansas City,10.5
23,Tennessee,10.5
24,LA Chargers,10.5
25,Denver,10.7
26,Minnesota,10.7
27,Washington,10.8
28,NY Jets,11.0
29,Dallas,11.1
30,Houston,11.3
31,Detroit,11.6
32,Baltimore,11.9
