Rank,Team,2021 plays-per-game
1,Baltimore,69.7
2,Dallas,67.9
3,Tampa Bay,67.5
4,Kansas City,67.0
5,LA Chargers,66.4
6,Buffalo,66.3
7,Tennessee,65.8
8,Arizona,65.6
9,Pittsburgh,65.5
10,Carolina,65.1
11,Miami,64.5
12,Las Vegas,64.1
13,Minnesota,63.7
14,Chicago,63.2
15,LA Rams,63.2
16,Philadelphia,63.2
17,Washington,62.9
18,Green Bay,62.6
19,Detroit,62.1
20,Cleveland,62.0
21,Indianapolis,61.9
22,New England,61.8
23,New Orleans,61.8
24,Cincinnati,61.8
25,NY Giants,61.8
26,NY Jets,60.9
26,Denver,60.9
28,San Francisco,60.6
29,Jacksonville,60.5
30,Houston,59.4
31,Atlanta,59.2
32,Seattle,56.1
